team,formation,formation_starts,source_url,html_length
kasm,4-4-2,18,https://www.football-lab.jp/kasm/formation/,71451
mito,4-4-2,16,https://www.football-lab.jp/mito/formation/,73709
uraw,4-2-3-1,15,https://www.football-lab.jp/uraw/formation/,71517
chib,4-4-2,19,https://www.football-lab.jp/chib/formation/,70296
kasw,3-4-2-1,18,https://www.football-lab.jp/kasw/formation/,70841
FCtk,4-4-2,19,https://www.football-lab.jp/fctk/formation/,69649
tk-v,3-4-2-1,19,https://www.football-lab.jp/tk-v/formation/,69914
mcd,3-4-2-1,19,https://www.football-lab.jp/mcd/formation/,69692
ka-f,4-2-3-1,17,https://www.football-lab.jp/ka-f/formation/,72888
y-fm,4-2-1-3,19,https://www.football-lab.jp/y-fm/formation/,70756
shim,4-1-2-3,15,https://www.football-lab.jp/shim/formation/,72686
nago,3-4-2-1,19,https://www.football-lab.jp/nago/formation/,69946
kyot,4-1-2-3,15,https://www.football-lab.jp/kyot/formation/,72497
g-os,4-2-3-1,18,https://www.football-lab.jp/g-os/formation/,71832
c-os,4-2-3-1,17,https://www.football-lab.jp/c-os/formation/,73384
okay,3-4-2-1,19,https://www.football-lab.jp/okay/formation/,69727
kobe,4-1-2-3,15,https://www.football-lab.jp/kobe/formation/,72658
hiro,3-4-2-1,16,https://www.football-lab.jp/hiro/formation/,70678
fuku,3-4-2-1,19,https://www.football-lab.jp/fuku/formation/,70028
ngsk,3-4-2-1,15,https://www.football-lab.jp/ngsk/formation/,74364
